;E;S;G
Ex 1;0,627906977;0,23255814;0,139534884
Ex 2;0,23255814;0,627906977;0,139534884
Ex 3;0,6875;0,1875;0,125
Ex 4;0,627906977;0,139534884;0,23255814
Ex 5;0,578947368;0,315789474;0,105263158
Ex 6;0,117647059;0,235294118;0,647058824
Ex 7;0,26;0,64;0,1
Ex 8;0,703703704;0,185185185;0,111111111
Ex 9;0,153846154;0,307692308;0,538461538
Ex 10;0,125;0,25;0,625
Ex 11;0,7;0,2;0,1
Ex 12;0,627906977;0,23255814;0,139534884
Ex 13;0,125;0,25;0,625
Ex 14;0,3125;0,5625;0,125
Ex 15;0,627906977;0,23255814;0,139534884
Ex 16;0,647058824;0,235294118;0,117647059
Ex 17;0,125;0,65;0,225
Ex 18;0,654545455;0,254545455;0,090909091
Ex 19;0,203703704;0,685185185;0,111111111
Ex 20;0,642857143;0,25;0,107142857
Ex 21;0,23255814;0,627906977;0,139534884
Ex 22;0,105263158;0,315789474;0,578947368
Ex 23;0,660377358;0,188679245;0,150943396
Ex 24;0,139534884;0,23255814;0,627906977
Ex 25;0,625;0,25;0,125
Ex 26;0,6875;0,1875;0,125
;0,431989577;0,326020614;0,24198981
